J4311|USTH0001XH|C43H:0 C43TOBACCO:5 C43HTC:15 
J01054|U0001|C43H:0 C04AH:2 
J01054|U0001|C43H:0 C43TOBACCO:11 C04AH:2 
J4311|USTH0003|C43H:0 C43TOBACCO:18 C43H:5 
J4311|USTH0003|C43H:0 C43TOBACCO:18 C43H:5 
J01051||C43H:0 C43TOBACCO:11 C04AH:6 
J57599|USTH0005TD|C43H:0 C43TOBACCO:7 C43HTD:3 
J4311|USTH0001CS|C43H:0 C43TOBACCO:5 C43HTC:5 
J57599|USTH0003B|C43H:0 C43HOB:5 
J57599|USTH0001|C43H:0 C43H:10 
J4311|USTH0001|C43H:0 C43TOBACCO:18 C43H:3 
J01051||C43H:0 C04AH:6 
J4311|USTH0001CM|C43H:0 C43TOBACCO:5 C43HTC:4 
J57599|USTH0001B|C43H:0 C43HOB:4 
J4311|USTH0001HM|C43H:0 C43TOBACCO:4 C43HTH:4 
J0901||C43H:0 C43H:23 
J57599|USTH0001|C43H:0 C43TOBACCO:18 C43H:10 
J4311|USTH0001HO|C43H:0 C43TOBACCO:4 C43HTH:6 
J4311|USTH0001HS|C43H:0 C43TOBACCO:4 C43HTH:5 
J57599|USTH0005B|C43H:0 C43HOB:6 
J4311|USTH0001CH|C43H:0 C43TOBACCO:5 C43HTC:3 
J4311|USTH0003|C43H:0 C43TOBACCO:18 C43H:5 
J4311|USTH0001CS|C43H:0 C43TOBACCO:5 C43HTC:5 
J57599|USTH0003|C43H:0 C43TOBACCO:18 C43H:11 
J57599|USTH0006C|C43H:0 C43TOBACCO:5 C43HTC:9 
J4311|USTH0001XM|C43H:0 C43TOBACCO:6 C43HTX:4 
J010513||C43H:0 C43TOBACCO:11 C04AH:7 
J0901A||C43H:0 C0911H:17 
J4311|USTH0001CC|C43H:0 C43TOBACCO:5 C43HTC:2 
J010513||C43H:0 C04AH:7 
J4311|USTH0001HH|C43H:0 C43TOBACCO:4 C43HTH:2 
J57599|USTH0005B|C43H:0 C43HOB:6 
J57599|USTH0001|C43H:0 C43TOBACCO:18 C43H:10 
J4311|USTH0001XH|C43H:0 C43TOBACCO:6 C43HTX:3 
J57599|USTH0006TD|C43H:0 C43TOBACCO:7 C43HTD:6 
J4311|USTH0002|C43H:0 C43TOBACCO:18 C43H:2 
J4311|USTH0001CC|C43H:0 C43TOBACCO:5 C43HTC:2 
J4311|USTH0001CS|C43H:0 C43TOBACCO:5 C43HTC:5 
J0901A||C43H:0 C0911H:17 
J57599|USTH0004|C43H:0 C43TOBACCO:18 C43H:12 
J57599|USTH0001B|C43H:0 C43HOB:4 
J4311|USTH0001XH|C43H:0 C43TOBACCO:6 C43HTX:3 
J4311|USTH0001HS|C43H:0 C43TOBACCO:4 C43HTH:5 
J57599|USTH0005TD|C43H:0 C43TOBACCO:7 C43HTD:3 
J57599|USTH0001B|C43H:0 C43HOB:4 
J57599|USTH0001B|C43H:0 C43HOB:4 
J4311|USTH0001|C43H:0 C43TOBACCO:18 C43H:3 
J57599|USTH0003B|C43H:0 C43HOB:5 
J4311|USTH0001D|C43H:0 C43TOBACCO:7 C43HTD:5 
J57599|USTH0005S|C43H:0 C43TOBACCO:6 C43HTX:8 
J4311|USTH0002T|C43H:0 C43TOBACCO:18 C43H:4 
J4311|USTH0001|C43H:0 C43TOBACCO:18 C43H:3 
J0901||C43H:0 C43TOBACCO:18 C43H:23 
J09101|USTC0001|C43H:0 C0911H:2 
J4311|USTH0001HO|C43H:0 C43TOBACCO:4 C43HTH:6 
J4311|USTH0001XH|C43H:0 C43TOBACCO:5 C43HTC:15 
J4311|USTH0001XS|C43H:0 C43TOBACCO:6 C43HTX:5 
J4311|USTH0001XH|C43H:0 C43TOBACCO:5 C43HTC:15 
J4311|USTH0001XC|C43H:0 C43TOBACCO:5 C43HTC:14 
J0901||C43H:0 C43TOBACCO:18 C43H:23 
J57599|USTH0003B|C43H:0 C43HOB:5 
J57599|USTH0006TD|C43H:0 C43TOBACCO:7 C43HTD:6 
J01054|U0001|C43H:0 C43TOBACCO:11 C04AH:2 
J57599|USTH0005TD|C43H:0 C43TOBACCO:7 C43HTD:3 
J57599|USTH0004|C43H:0 C43TOBACCO:18 C43H:12 
J4311|USTH0002T|C43H:0 C43TOBACCO:18 C43H:4 
J010513||C43H:0 C04AH:7 
J4311|USTH0001CS|C43H:0 C43TOBACCO:5 C43HTC:5 
J4311|USTH0001XM|C43H:0 C43TOBACCO:6 C43HTX:4 
J4311|USTH0001D|C43H:0 C43TOBACCO:7 C43HTD:5 
J57599|USTH0005B1|C43H:0 C43TOBACCO:2 C43HBLANK:21 
J4311|USTH0001CS|C43H:0 C43TOBACCO:5 C43HTC:5 
J4311|USTH0001XS|C43H:0 C43TOBACCO:6 C43HTX:5 
J01054|U0001|C43H:0 C43TOBACCO:11 C04AH:2 
J4311|USTH0001CH|C43H:0 C43TOBACCO:5 C43HTC:3 
J4311|USTH0001XM|C43H:0 C43TOBACCO:6 C43HTX:4 
J4311|USTH0001HC|C43H:0 C43TOBACCO:4 C43HTH:3 
J57599|USTH0001B|C43H:0 C43HOB:4 
J01051||C43H:0 C04AH:6 
J01054|U0001|C43H:0 C43TOBACCO:11 C04AH:2 
J4311|USTH0001XS|C43H:0 C43TOBACCO:5 C43HTC:17 
J57599|USTH0003B1|C43H:0 C43TOBACCO:2 C43HBLANK:20 
J4311|USTH0001XC|C43H:0 C43TOBACCO:6 C43HTX:2 
J57599|USTH0005S|C43H:0 C43TOBACCO:6 C43HTX:8 
J4311|USTH0002|C43H:0 C43TOBACCO:18 C43H:2 
J4311|USTH0001XC|C43H:0 C43TOBACCO:6 C43HTX:2 
J0901A||C43H:0 C0911H:17 
J010513||C43H:0 C43TOBACCO:11 C04AH:7 
J4311|USTH0001|C43H:0 C43HOB:8 
J4311|USTH0001D|C43H:0 C43TOBACCO:7 C43HTD:5 
J4311|USTH0001HO|C43H:0 C43TOBACCO:4 C43HTH:6 
J4311|USTH0001CC|C43H:0 C43TOBACCO:5 C43HTC:2 
J4311|USTH0001XC|C43H:0 C43TOBACCO:5 C43HTC:14 
J0901A||C43H:0 C0911H:17 
J4311|USTH0003|C43H:0 C43TOBACCO:18 C43H:5 
J4311|USTH0001HM|C43H:0 C43TOBACCO:4 C43HTH:4 
J4311|USTH0001XS|C43H:0 C43TOBACCO:5 C43HTC:17 
J4311|USTH0001XC|C43H:0 C43TOBACCO:6 C43HTX:2 
J4311|USTH0001HO|C43H:0 C43TOBACCO:4 C43HTH:6 
J01051||C43H:0 C04AH:6 
J01051||C43H:0 C04AH:6 
J4311|USTH0001HS|C43H:0 C43TOBACCO:4 C43HTH:5 
J4311|USTH0001HO|C43H:0 C43TOBACCO:4 C43HTH:6 
J57599|USTH0006C|C43H:0 C43TOBACCO:5 C43HTC:9 
J57599|USTH0002A|C43H:0 C43TOBACCO:2 C43HBLANK:4 
J57599|USTH0005B1|C43H:0 C43TOBACCO:2 C43HBLANK:21 
J4311|USTH0001XH|C43H:0 C43TOBACCO:5 C43HTC:15 
J4311|USTH0001HO|C43H:0 C43TOBACCO:4 C43HTH:6 
J4311|USTH0003|C43H:0 C43TOBACCO:18 C43H:5 
J4311|USTH0001HS|C43H:0 C43TOBACCO:4 C43HTH:5 
J57599|USTH0005C|C43H:0 C43TOBACCO:5 C43HTC:8 
J0901||C43H:0 C43TOBACCO:18 C43H:23 
J4311|USTH0001XC|C43H:0 C43TOBACCO:6 C43HTX:2 
J4311|USTH0001D|C43H:0 C43TOBACCO:7 C43HTD:5 
J57599|USTH0001B|C43H:0 C43HOB:4 
J4311|USTH0001HH|C43H:0 C43TOBACCO:4 C43HTH:2 
J57599|USTH0003B|C43H:0 C43HOB:5 
J57599|USTH0005B|C43H:0 C43HOB:6 
J01051||C43H:0 C43TOBACCO:11 C04AH:6 
J4311|USTH0001CH|C43H:0 C43TOBACCO:5 C43HTC:3 
J4311|USTH0001XM|C43H:0 C43TOBACCO:6 C43HTX:4 
J0901A||C43H:0 C0911H:17 
J57599|USTH0001B|C43H:0 C43HOB:4 
J57599|USTH0006S|C43H:0 C43TOBACCO:6 C43HTX:9 
J01051||C43H:0 C04AH:6 
J4311|USTH0003|C43H:0 C43TOBACCO:18 C43H:5 
J57599|USTH0005S|C43H:0 C43TOBACCO:6 C43HTX:8 
J01054|U0001|C43H:0 C04AH:2 
J4311|USTH0001|C43H:0 C43HOB:8 
J57599|USTH0006H|C43H:0 C43TOBACCO:4 C43HTH:10 
J57599|USTH0006S|C43H:0 C43TOBACCO:6 C43HTX:9 
J4311|USTH0001CH|C43H:0 C43TOBACCO:5 C43HTC:3 
J57599|USTH0004|C43H:0 C43TOBACCO:18 C43H:12 
J57599|USTH0005B1|C43H:0 C43TOBACCO:2 C43HBLANK:21 
J01054|U0001|C43H:0 C04AH:2 
J4311|USTH0001CC|C43H:0 C43TOBACCO:5 C43HTC:2 
J01051||C43H:0 C04AH:6 
J4311|USTH0001XC|C43H:0 C43TOBACCO:6 C43HTX:2 
J4311|USTH0002|C43H:0 C43TOBACCO:18 C43H:2 
J4311|USTH0001XM|C43H:0 C43TOBACCO:5 C43HTC:16 
J010513||C43H:0 C04AH:7 
J57599|USTH0003|C43H:0 C43TOBACCO:18 C43H:11 
J4311|USTH0007|C43H:0 C43TOBACCO:2 C43HBLANK:2 
J57599|USTH0005C|C43H:0 C43TOBACCO:5 C43HTC:8 
J4311|USTH0001HM|C43H:0 C43TOBACCO:4 C43HTH:4 
J57599|USTH0001|C43H:0 C43TOBACCO:18 C43H:10 
J4311|USTH0001XC|C43H:0 C43TOBACCO:6 C43HTX:2 
J57599|USTH0005C|C43H:0 C43TOBACCO:5 C43HTC:8 
J4311|USTH0001XC|C43H:0 C43TOBACCO:6 C43HTX:2 
J4311|USTH0001|C43H:0 C43HOB:8 
J4311|USTH0001XM|C43H:0 C43TOBACCO:6 C43HTX:4 
J57599|USTH0003|C43H:0 C43TOBACCO:18 C43H:11 
J4311|USTH0001|C43H:0 C43TOBACCO:18 C43H:3 
J4311|USTH0001|C43H:0 C43HOB:8 
J4311|USTH0001HS|C43H:0 C43TOBACCO:4 C43HTH:5 
J57599|USTH0003B|C43H:0 C43HOB:5 
J57599|USTH0003B|C43H:0 C43HOB:5 
J4311|USTH0001CS|C43H:0 C43TOBACCO:5 C43HTC:5 
J57599|USTH0005TD|C43H:0 C43TOBACCO:7 C43HTD:3 
J4311|USTH0001XM|C43H:0 C43TOBACCO:5 C43HTC:16 
J4311|USTH0001XC|C43H:0 C43TOBACCO:6 C43HTX:2 
J01051||C43H:0 C43TOBACCO:11 C04AH:6 
J57599|USTH0003|C43H:0 C43TOBACCO:18 C43H:11 
J4311|USTH0003|C43H:0 C43TOBACCO:18 C43H:5 
J4311|USTH0001HC|C43H:0 C43TOBACCO:4 C43HTH:3 
J4311|USTH0001HH|C43H:0 C43TOBACCO:4 C43HTH:2 
J57599|USTH0005H|C43H:0 C43TOBACCO:4 C43HTH:9 
J01054|U0001|C43H:0 C43TOBACCO:11 C04AH:2 
J4311|USTH0001HC|C43H:0 C43TOBACCO:4 C43HTH:3 
J57599|USTH0005S|C43H:0 C43TOBACCO:6 C43HTX:8 
J4311|USTH0001HM|C43H:0 C43TOBACCO:4 C43HTH:4 
J57599|USTH0005B1|C43H:0 C43TOBACCO:2 C43HBLANK:21 
J4311|USTH0001CM|C43H:0 C43TOBACCO:5 C43HTC:4 
J4311|USTH0001XS|C43H:0 C43TOBACCO:6 C43HTX:5 
J4311|USTH0001CM|C43H:0 C43TOBACCO:5 C43HTC:4 
J57599|USTH0005S|C43H:0 C43TOBACCO:6 C43HTX:8 
J4311|USTH0001XM|C43H:0 C43TOBACCO:6 C43HTX:4 
J4311|USTH0001|C43H:0 C43HOB:8 
J4311|USTH0001XM|C43H:0 C43TOBACCO:5 C43HTC:16 
J57599|USTH0001|C43H:0 C43TOBACCO:18 C43H:10 
J57599|USTH0005B|C43H:0 C43HOB:6 
J57599|USTH0001B|C43H:0 C43HOB:4 
J57599|USTH0005B|C43H:0 C43HOB:6 
J4311|USTH0007|C43H:0 C43TOBACCO:2 C43HBLANK:2 
J4311|USTH0001CH|C43H:0 C43TOBACCO:5 C43HTC:3 
J09101|USTC0001|C43H:0 C0911H:2 
J01054|U0001|C43H:0 C43TOBACCO:11 C04AH:2 
J57599|USTH0005S|C43H:0 C43TOBACCO:6 C43HTX:8 
J57599|USTH0001|C43H:0 C43TOBACCO:18 C43H:10 
J01051||C43H:0 C43TOBACCO:11 C04AH:6 
J09101|USTC0001|C43H:0 C0911H:2 
J4311|USTH0001CH|C43H:0 C43TOBACCO:5 C43HTC:3 
J0901A||C43H:0 C0911H:17 
J010513||C43H:0 C43TOBACCO:11 C04AH:7 
J4311|USTH0001CS|C43H:0 C43TOBACCO:5 C43HTC:5 
J57599|USTH0006TD|C43H:0 C43TOBACCO:7 C43HTD:6 
J4311|USTH0001XH|C43H:0 C43TOBACCO:6 C43HTX:3 
J01051||C43H:0 C43TOBACCO:11 C04AH:6 
J4311|USTH0003|C43H:0 C43TOBACCO:18 C43H:5 
J57599|USTH0002A|C43H:0 C43TOBACCO:2 C43HBLANK:4 
J57599|USTH0005H|C43H:0 C43TOBACCO:4 C43HTH:9 
J4311|USTH0001XC|C43H:0 C43TOBACCO:5 C43HTC:14 
J01051||C43H:0 C04AH:6 
J01054|U0001|C43H:0 C43TOBACCO:11 C04AH:2 
J09101|USTC0001|C43H:0 C0911H:2 
J4311|USTH0001HC|C43H:0 C43TOBACCO:4 C43HTH:3 
J4311|USTH0001XS|C43H:0 C43TOBACCO:5 C43HTC:17 
J4311|USTH0002|C43H:0 C43TOBACCO:18 C43H:2 
J4311|USTH0001|C43H:0 C43TOBACCO:18 C43H:3 
J57599|USTH0003B|C43H:0 C43HOB:5 
J4311|USTH0001XS|C43H:0 C43TOBACCO:5 C43HTC:17 
J57599|USTH0002A|C43H:0 C43TOBACCO:2 C43HBLANK:4 
J57599|USTH0003B1|C43H:0 C43TOBACCO:2 C43HBLANK:20 
J4311|USTH0001|C43H:0 C43TOBACCO:18 C43H:3 
J4311|USTH0007|C43H:0 C43TOBACCO:2 C43HBLANK:2 
J01051||C43H:0 C43TOBACCO:11 C04AH:6 
J4311|USTH0002T|C43H:0 C43TOBACCO:18 C43H:4 
J4311|USTH0001XH|C43H:0 C43TOBACCO:6 C43HTX:3 
J4311|USTH0002T|C43H:0 C43H:4 
J4311|USTH0001HS|C43H:0 C43TOBACCO:4 C43HTH:5 
J4311|USTH0007|C43H:0 C43TOBACCO:2 C43HBLANK:2 
J57599|USTH0005C|C43H:0 C43TOBACCO:5 C43HTC:8 
J57599|USTH0005B1|C43H:0 C43TOBACCO:2 C43HBLANK:21 
J4311|USTH0002|C43H:0 C43TOBACCO:18 C43H:2 
J57599|USTH0006S|C43H:0 C43TOBACCO:6 C43HTX:9 
J0901A||C43H:0 C0911H:17 
J4311|USTH0001XC|C43H:0 C43TOBACCO:6 C43HTX:2 
J01054|U0001|C43H:0 C04AH:2 
J01051||C43H:0 C04AH:6 
J57599|USTH0005TD|C43H:0 C43TOBACCO:7 C43HTD:3 
J57599|USTH0005B1|C43H:0 C43TOBACCO:2 C43HBLANK:21 
J4311|USTH0001XH|C43H:0 C43TOBACCO:5 C43HTC:15 
J57599|USTH0006S|C43H:0 C43TOBACCO:6 C43HTX:9 
J4311|USTH0001HO|C43H:0 C43TOBACCO:4 C43HTH:6 
J4311|USTH0001HO|C43H:0 C43TOBACCO:4 C43HTH:6 
J57599|USTH0001B|C43H:0 C43HOB:4 
J4311|USTH0001CH|C43H:0 C43TOBACCO:5 C43HTC:3 
J57599|USTH0005S|C43H:0 C43TOBACCO:6 C43HTX:8 
J01054|U0001|C43H:0 C43TOBACCO:11 C04AH:2 
J4311|USTH0001D|C43H:0 C43TOBACCO:7 C43HTD:5 
J57599|USTH0005B|C43H:0 C43HOB:6 
J01054|U0001|C43H:0 C43TOBACCO:11 C04AH:2 
J57599|USTH0005C|C43H:0 C43TOBACCO:5 C43HTC:8 
J57599|USTH0006S|C43H:0 C43TOBACCO:6 C43HTX:9 
J57599|USTH0004|C43H:0 C43TOBACCO:18 C43H:12 
J57599|USTH0005H|C43H:0 C43TOBACCO:4 C43HTH:9 
J57599|USTH0003|C43H:0 C43TOBACCO:18 C43H:11 
J4311|USTH0001XH|C43H:0 C43TOBACCO:5 C43HTC:15 
J57599|USTH0005B|C43H:0 C43HOB:6 
J57599|USTH0003B|C43H:0 C43HOB:5 
J4311|USTH0001XH|C43H:0 C43TOBACCO:5 C43HTC:15 
J4311|USTH0001CS|C43H:0 C43TOBACCO:5 C43HTC:5 
J4311|USTH0002|C43H:0 C43TOBACCO:18 C43H:2 
J4311|USTH0001XC|C43H:0 C43TOBACCO:5 C43HTC:14 
J01054|U0001|C43H:0 C04AH:2 
J57599|USTH0005S|C43H:0 C43TOBACCO:6 C43HTX:8 
J4311|USTH0007|C43H:0 C43TOBACCO:2 C43HBLANK:2 
J010513||C43H:0 C04AH:7 
J010513||C43H:0 C43TOBACCO:11 C04AH:7 
J09101|USTC0001|C43H:0 C0911H:2 
J4311|USTH0001|C43H:0 C43TOBACCO:18 C43H:3 
J57599|USTH0003|C43H:0 C43TOBACCO:18 C43H:11 
J57599|USTH0005C|C43H:0 C43TOBACCO:5 C43HTC:8 
J57599|USTH0006H|C43H:0 C43TOBACCO:4 C43HTH:10 
J4311|USTH0001CS|C43H:0 C43TOBACCO:5 C43HTC:5 
J57599|USTH0005S|C43H:0 C43TOBACCO:6 C43HTX:8 
J4311|USTH0001XS|C43H:0 C43TOBACCO:6 C43HTX:5 
J0901||C43H:0 C43TOBACCO:18 C43H:23 
J57599|USTH0006C|C43H:0 C43TOBACCO:5 C43HTC:9 
J4311|USTH0001XH|C43H:0 C43TOBACCO:6 C43HTX:3 
J4311|USTH0001HC|C43H:0 C43TOBACCO:4 C43HTH:3 
J010513||C43H:0 C43TOBACCO:11 C04AH:7 
J4311|USTH0002T|C43H:0 C43TOBACCO:18 C43H:4 
J4311|USTH0001D|C43H:0 C43TOBACCO:7 C43HTD:5 
J57599|USTH0003B1|C43H:0 C43TOBACCO:2 C43HBLANK:20 
J57599|USTH0003B|C43H:0 C43HOB:5 
J4311|USTH0001CM|C43H:0 C43TOBACCO:5 C43HTC:4 
J57599|USTH0003B|C43H:0 C43HOB:5 
J57599|USTH0005B1|C43H:0 C43TOBACCO:2 C43HBLANK:21 
J57599|USTH0003B1|C43H:0 C43TOBACCO:2 C43HBLANK:20 
J4311|USTH0001XC|C43H:0 C43TOBACCO:5 C43HTC:14 
J01051||C43H:0 C04AH:6 
J01051||C43H:0 C04AH:6 
J4311|USTH0002|C43H:0 C43TOBACCO:18 C43H:2 
J4311|USTH0001HM|C43H:0 C43TOBACCO:4 C43HTH:4 
J57599|USTH0003|C43H:0 C43TOBACCO:18 C43H:11 
J4311|USTH0001XM|C43H:0 C43TOBACCO:5 C43HTC:16 
J0901||C43H:0 C43TOBACCO:18 C43H:23 
J57599|USTH0006H|C43H:0 C43TOBACCO:4 C43HTH:10 
J4311|USTH0001XS|C43H:0 C43TOBACCO:5 C43HTC:17 
J4311|USTH0001XM|C43H:0 C43TOBACCO:6 C43HTX:4 
J01054|U0001|C43H:0 C04AH:2 
J57599|USTH0005C|C43H:0 C43TOBACCO:5 C43HTC:8 
J57599|USTH0002A|C43H:0 C43TOBACCO:2 C43HBLANK:4 
J57599|USTH0001|C43H:0 C43TOBACCO:18 C43H:10 
J4311|USTH0001CC|C43H:0 C43TOBACCO:5 C43HTC:2 
J4311|USTH0001XH|C43H:0 C43TOBACCO:6 C43HTX:3 
J57599|USTH0006TD|C43H:0 C43TOBACCO:7 C43HTD:6 
J4311|USTH0001XC|C43H:0 C43TOBACCO:5 C43HTC:14 
J4311|USTH0001XS|C43H:0 C43TOBACCO:6 C43HTX:5 
J57599|USTH0006C|C43H:0 C43TOBACCO:5 C43HTC:9 
J57599|USTH0006TD|C43H:0 C43TOBACCO:7 C43HTD:6 
J010513||C43H:0 C43TOBACCO:11 C04AH:7 
J57599|USTH0006S|C43H:0 C43TOBACCO:6 C43HTX:9 
J57599|USTH0001B|C43H:0 C43HOB:4 
